origin_airport,destination_airport,num_flights,o_lat,o_long,d_lat,d_long
MSY,ATL,5467,29.99339,-90.25803,33.640440000000005,-84.42694
HNL,ITO,5458,21.31869,-157.92241,19.72026,-155.04847
DFW,DEN,5434,32.89595,-97.0372,39.85841,-104.667
SAN,PHX,5405,32.73356,-117.18966,33.43417,-112.00806000000001
PHX,SAN,5393,33.43417,-112.00806000000001,32.73356,-117.18966
PHX,ORD,5360,33.43417,-112.00806000000001,41.9796,-87.90446
ORD,PHX,5360,41.9796,-87.90446,33.43417,-112.00806000000001
ORD,IAH,5335,41.9796,-87.90446,29.98047,-95.33972
LAX,EWR,5303,33.94254,-118.40807,40.6925,-74.16866
IAH,ORD,5290,29.98047,-95.33972,41.9796,-87.90446
EWR,LAX,5286,40.6925,-74.16866,33.94254,-118.40807
FLL,LGA,5280,26.07258,-80.15275,40.77724,-73.87261
LGA,FLL,5279,40.77724,-73.87261,26.07258,-80.15275
LAS,SAN,5229,36.08036,-115.15233,32.73356,-117.18966
PHL,BOS,5223,39.87195,-75.24114,42.36435,-71.00518000000001
LAX,SJC,5220,33.94254,-118.40807,37.36186,-121.92901
SAN,LAS,5218,32.73356,-117.18966,36.08036,-115.15233
SJC,LAX,5216,37.36186,-121.92901,33.94254,-118.40807
BOS,PHL,5207,42.36435,-71.00518000000001,39.87195,-75.24114
JFK,MCO,5176,40.63975,-73.77893,28.428890000000003,-81.31603
MCO,JFK,5172,28.428890000000003,-81.31603,40.63975,-73.77893
BWI,FLL,5106,39.1754,-76.6682,26.07258,-80.15275
FLL,BWI,5105,26.07258,-80.15275,39.1754,-76.6682
ITO,HNL,5095,19.72026,-155.04847,21.31869,-157.92241
ATL,RDU,5078,33.640440000000005,-84.42694,35.87764,-78.78747
RDU,ATL,5076,35.87764,-78.78747,33.640440000000005,-84.42694
ATL,MSP,5075,33.640440000000005,-84.42694,44.88055,-93.21692
PDX,LAX,5073,45.58872,-122.5975,33.94254,-118.40807
MSP,ATL,5073,44.88055,-93.21692,33.640440000000005,-84.42694
LAX,PDX,5072,33.94254,-118.40807,45.58872,-122.5975
ORD,SEA,5040,41.9796,-87.90446,47.44898,-122.30931000000001
SEA,PHX,5038,47.44898,-122.30931000000001,33.43417,-112.00806000000001
PHX,SEA,5037,33.43417,-112.00806000000001,47.44898,-122.30931000000001
SEA,ORD,5034,47.44898,-122.30931000000001,41.9796,-87.90446
MCO,PHL,5025,28.428890000000003,-81.31603,39.87195,-75.24114
PHL,MCO,5021,39.87195,-75.24114,28.428890000000003,-81.31603
SNA,SFO,4984,33.67566,-117.86822,37.619,-122.37483999999999
EWR,ORD,4969,40.6925,-74.16866,41.9796,-87.90446
SFO,SNA,4968,37.619,-122.37483999999999,33.67566,-117.86822
