New York City International Film Festival 
SESAC Pop Music Awards
Tribeca Film Festival 
Vanity FairŠ—Ès Founders Fair
OZY Fusion Fest
Lincoln CenterŠ—Ès Mostly Mozart Festival
Panorama Festival
New York Comedy Festival
DOC NYC film festival
National Book Awards Ceremony
MacyŠ—Ès Thanksgiving Day Parade
Gotham Independent Film Awards
Rockefeller Center Christmas Tree Lighting
