"","date","month","city","state","event_name","JSD_score","Spearman_cor"
"67","29/1/2017",1,"Los Angeles","CA","Screen Actors Guild Awards",0.179071578764085,-0.0571428571428571
"68","31/1/2017",1,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"69","31/1/2017",1,"Los Angeles","CA","Pollstar Live!",0.225362577502049,-0.25
"70","1/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"71","1/2/17",2,"Los Angeles","CA","Pollstar Live!",0.225362577502049,-0.25
"72","1/2/17",2,"New York","NY","The Ellies National Magazine Awards Gal",0.279341705371083,-0.439285714285714
"73","2/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"74","2/2/17",2,"Los Angeles","CA","Pollstar Live!",0.225362577502049,-0.25
"75","3/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"76","4/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"77","4/2/17",2,"Chicago","IL","Chicago Voice Gala",0.0752770370356322,0.346428571428571
"78","4/2/17",2,"Los Angeles","CA","Directors Guild Awards",0.187173096980004,-0.0428571428571429
"79","4/2/17",2,"Houston","TX","NFL Honors",0.0208837304585899,0.996428571428571
"80","5/2/17",2,"Houston","TX","NFL Super Bowl",0.0432840989653439,0.682142857142857
"81","8/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"82","9/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"83","9/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"84","10/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"85","10/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"86","10/2/17",2,"Santa Monica","CA","MusiCares Person Of The Year Tribute",0,1
"87","11/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"88","11/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"89","11/2/17",2,"Los Angeles","CA","NAACP Image Awards",0.0893014684403703,-0.117857142857143
"90","11/2/17",2,"Los Angeles","CA","The Academyäó»s Sci Tech Awards",0.147577292661477,-0.117857142857143
"91","11/2/17",2,"Los Angeles","CA","The Writers Guild Awards",0.187173096980004,-0.0428571428571429
"92","12/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"93","12/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"94","12/2/17",2,"London","UK","BAFTA Awards",0.0929408445598565,-0.142857142857143
"95","12/2/17",2,"Los Angeles","CA","GRAMMY Awards",0.147577292661467,-0.117857142857143
"96","13/2/2017",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"97","14/2/2017",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"98","15/2/2017",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"99","15/2/2017",2,"Kansas City","MO","Folk Alliance Conference",0,1
"100","15/2/2017",2,"London","UK","NME Awards",0.0929408445598565,-0.142857142857143
"101","16/2/2017",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"102","16/2/2017",2,"Kansas City","MO","Folk Alliance Conference",0,1
"103","16/2/2017",2,"Ventura","CA","Durango Songwriters Expo",0,1
"104","16/2/2017",2,"Los Angeles","CA","Guild of Music Supervisors Awards",0.187173035844073,0.121428571428571
"105","17/2/2017",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"106","17/2/2017",2,"Kansas City","MO","Folk Alliance Conference",0,1
"107","17/2/2017",2,"Ventura","CA","Durango Songwriters Expo",0,1
"108","17/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"109","18/2/2017",2,"Kansas City","MO","Folk Alliance Conference",0,1
"110","18/2/2017",2,"Ventura","CA","Durango Songwriters Expo",0,1
"111","18/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"112","19/2/2017",2,"Kansas City","MO","Folk Alliance Conference",0,1
"113","19/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"114","19/2/2017",2,"New Orleans","LA","NBA All Star Game",0.282070899291319,-0.278571428571429
"115","20/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"116","21/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"117","22/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"118","22/2/2017",2,"Nashville","TN","Country Radio Seminar",0.293230022655253,-0.489285714285714
"119","22/2/2017",2,"London","UK","BRIT Awards",0.0929408445598565,-0.142857142857143
"120","23/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"121","23/2/2017",2,"Nashville","TN","Country Radio Seminar",0.293230022655253,-0.489285714285714
"122","23/2/2017",2,"Harrisburg","PA","Millennium Music Conference & Showcase",0,1
"123","24/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"124","24/2/2017",2,"Nashville","TN","Country Radio Seminar",0.293230022655253,-0.489285714285714
"125","24/2/2017",2,"Harrisburg","PA","Millennium Music Conference & Showcase",0,1
"126","25/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"127","25/2/2017",2,"Harrisburg","PA","Millennium Music Conference & Showcase",0,1
"128","25/2/2017",2,"Los Angeles","CA","Film Independent Spirit Awards",0.155681932252586,0.0571428571428571
"129","26/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"130","26/2/2017",2,"Harrisburg","PA","Millennium Music Conference & Showcase",0,1
"131","26/2/2017",2,"Daytona Beach","FL","Daytona 500",0,NA
"132","26/2/2017",2,"Hollywood","CA","The Academy Awards",0.224461586561293,0.225
"133","27/2/2017",2,"San Francisco","CA","Noise Pop Festival",0.12248097078425,0.125
"134","27/2/2017",2,"Nashville","TN","T.J. Martell Foundation Nashville Honors Gala",0.419447075471393,0.367857142857143
"135","1/3/17",3,"New York","NY","UJA Federation of New Yorkäó»s REX Gala",0.20721109749135,0.257142857142857
"136","3/3/17",3,"Phoenix","AZ","McDowell Mountain Music Festiva",0.117744289564956,0.889285714285714
"137","3/3/17",3,"New York","NY","Django a Gogo Music Festival at Carnegie Hall",0.371969670730676,0.0357142857142857
"138","4/3/17",3,"Phoenix","AZ","McDowell Mountain Music Festiva",0.117744289564956,0.889285714285714
"139","5/3/17",3,"Phoenix","AZ","McDowell Mountain Music Festiva",0.117744289564956,0.889285714285714
"140","5/3/17",3,"Los Angeles","CA","iHeartRadio Music Awards",0.147577185198667,0.0303842838038758
"141","6/3/17",3,"New York","NY","Michael Dorf Presents' annual äóìMusic Ofäó tribute show",0.375957232701709,-0.239285714285714
"142","7/3/17",3,"New York","NY","Media Summit New York",0.20721115245508,0.0678571428571429
"143","8/3/17",3,"New York","NY","Media Summit New York",0.20721115245508,0.0678571428571429
"144","8/3/17",3,"London","UK","International Live Music Conference",0.177394028090614,0.578571428571428
"145","9/3/17",3,"London","UK","International Live Music Conference",0.177394028090614,0.578571428571428
"146","10/3/17",3,"London","UK","International Live Music Conference",0.177394028090614,0.578571428571428
"147","10/3/17",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"148","10/3/17",3,"Austin","TX","South By Southwest (Interactive)",0.228067167771717,0.0357462162398539
"149","11/3/17",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"150","11/3/17",3,"Austin","TX","South By Southwest (Interactive)",0.228067167771717,0.0357462162398539
"151","11/3/17",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"152","12/3/17",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"153","12/3/17",3,"Austin","TX","South By Southwest (Interactive)",0.228067167771717,0.0357462162398539
"154","12/3/17",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"155","13/3/2017",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"156","13/3/2017",3,"Austin","TX","South By Southwest (Interactive)",0.228067167771717,0.0357462162398539
"157","13/3/2017",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"158","13/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
"159","14/3/2017",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"160","14/3/2017",3,"Austin","TX","South By Southwest (Interactive)",0.228067167771717,0.0357462162398539
"161","14/3/2017",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"162","14/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
"163","15/3/2017",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"164","15/3/2017",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"165","15/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
