National Board of Review of Motion Pictures Awards Gala
Winter Jazzfest NYC                                           
Jazz Connect Conference 
APAP conference                                               
Intelligence Squared U.S. Spring Season Opening Debate 
UJA Federation of New YorkŠ—Ès REX Gala                       
Django a Gogo Music Festival at Carnegie Hall
Michael Dorf Presents' annual Š—“Music OfŠ—\u009d tribute show
Media Summit New York
CNN Heroes: An All Star Tribute
