date,city,state,event_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,month,day,year
2/1/17,St. Louis,MO,NHL Winter Classic,0.35555554309929693,0.3555555328857243,0.022222222222231837,0.022222222222241874,0.02222222222223203,0.022222222222241766,0.022222222222226258,0.022222222222253417,0.02222222222222863,0.022222222222224457,0.022222222222228007,0.02222222222223907,0.022222257348161103,0.02222222222224279,0.02222222222222745,1,2,17
4/1/17,New York,NY,National Board of Review of Motion Pictures Awards Gala,0.011111111111121199,0.011111111111116833,0.011111111111116697,0.011111111111122491,0.011111137147131477,0.011111111111122432,0.011111111111113379,0.011111111111129172,0.8444442707307515,0.01111111111111244,0.011111121515740592,0.01111111111112092,0.01111111111111908,0.011111215504953345,0.01111114399022856,1,4,17
5/1/17,New York,NY,Winter Jazzfest NYC,0.0166666666666689,0.7666666458332309,0.01666666666666792,0.016666666666669213,0.016666666666667947,0.0166666666666692,0.016666666666667197,0.01666666666667071,0.016666666666667503,0.016666666666666965,0.016666666666667423,0.01666666666666885,0.01666668750008073,0.01666666666666933,0.01666666666666735,1,5,17
5/1/17,Las Vegas,NV,International Consumer Electronics Show (CES),0.01333333333333705,0.013333335883871957,0.8133333259368118,0.01333333333333758,0.013333333333335457,0.013333333333337558,0.013333333333334176,0.01333333333334007,0.013333333333334727,0.01333333560590888,0.013333333333334592,0.013333333333336972,0.013333333333336313,0.013333333333337772,0.013333335906705261,1,5,17
5/1/17,New York,NY,Jazz Connect Conference,0.01666666666668548,0.016666666666677456,0.01666666666667722,0.016666666666688233,0.016666666666677404,0.016666666666688066,0.01666666666667091,0.0166666666667008,0.016666666666673696,0.2666666616358705,0.016666666666673016,0.016666666666685086,0.01666666666668171,0.016666666666689152,0.5166666716972613,1,5,17
6/1/17,New York,NY,Winter Jazzfest NYC,0.0166666666666689,0.7666666458332309,0.01666666666666792,0.016666666666669213,0.016666666666667947,0.0166666666666692,0.016666666666667197,0.01666666666667071,0.016666666666667503,0.016666666666666965,0.016666666666667423,0.01666666666666885,0.01666668750008073,0.01666666666666933,0.01666666666666735,1,6,17
6/1/17,Las Vegas,NV,International Consumer Electronics Show (CES),0.01333333333333705,0.013333335883871957,0.8133333259368118,0.01333333333333758,0.013333333333335457,0.013333333333337558,0.013333333333334176,0.01333333333334007,0.013333333333334727,0.01333333560590888,0.013333333333334592,0.013333333333336972,0.013333333333336313,0.013333333333337772,0.013333335906705261,1,6,17
6/1/17,New York,NY,Jazz Connect Conference,0.01666666666668548,0.016666666666677456,0.01666666666667722,0.016666666666688233,0.016666666666677404,0.016666666666688066,0.01666666666667091,0.0166666666667008,0.016666666666673696,0.2666666616358705,0.016666666666673016,0.016666666666685086,0.01666666666668171,0.016666666666689152,0.5166666716972613,1,6,17
6/1/17,New York,NY,APAP conference,0.022222222222229082,0.022222222222226154,0.022222222222226067,0.022222222222230085,0.02222222222222613,0.022222222222230026,0.022222222222223757,0.022222222222234713,0.022222222222224777,0.022222222222223115,0.02222222222222453,0.022222222222228933,0.022222222222227705,0.022222222222230418,0.6888888888888145,1,6,17
7/1/17,New York,NY,Winter Jazzfest NYC,0.0166666666666689,0.7666666458332309,0.01666666666666792,0.016666666666669213,0.016666666666667947,0.0166666666666692,0.016666666666667197,0.01666666666667071,0.016666666666667503,0.016666666666666965,0.016666666666667423,0.01666666666666885,0.01666668750008073,0.01666666666666933,0.01666666666666735,1,7,17
7/1/17,Las Vegas,NV,International Consumer Electronics Show (CES),0.01333333333333705,0.013333335883871957,0.8133333259368118,0.01333333333333758,0.013333333333335457,0.013333333333337558,0.013333333333334176,0.01333333333334007,0.013333333333334727,0.01333333560590888,0.013333333333334592,0.013333333333336972,0.013333333333336313,0.013333333333337772,0.013333335906705261,1,7,17
7/1/17,New York,NY,APAP conference,0.022222222222229082,0.022222222222226154,0.022222222222226067,0.022222222222230085,0.02222222222222613,0.022222222222230026,0.022222222222223757,0.022222222222234713,0.022222222222224777,0.022222222222223115,0.02222222222222453,0.022222222222228933,0.022222222222227705,0.022222222222230418,0.6888888888888145,1,7,17
8/1/17,New York,NY,Winter Jazzfest NYC,0.0166666666666689,0.7666666458332309,0.01666666666666792,0.016666666666669213,0.016666666666667947,0.0166666666666692,0.016666666666667197,0.01666666666667071,0.016666666666667503,0.016666666666666965,0.016666666666667423,0.01666666666666885,0.01666668750008073,0.01666666666666933,0.01666666666666735,1,8,17
8/1/17,Las Vegas,NV,International Consumer Electronics Show (CES),0.01333333333333705,0.013333335883871957,0.8133333259368118,0.01333333333333758,0.013333333333335457,0.013333333333337558,0.013333333333334176,0.01333333333334007,0.013333333333334727,0.01333333560590888,0.013333333333334592,0.013333333333336972,0.013333333333336313,0.013333333333337772,0.013333335906705261,1,8,17
8/1/17,New York,NY,APAP conference,0.022222222222229082,0.022222222222226154,0.022222222222226067,0.022222222222230085,0.02222222222222613,0.022222222222230026,0.022222222222223757,0.022222222222234713,0.022222222222224777,0.022222222222223115,0.02222222222222453,0.022222222222228933,0.022222222222227705,0.022222222222230418,0.6888888888888145,1,8,17
9/1/17,New York,NY,Winter Jazzfest NYC,0.0166666666666689,0.7666666458332309,0.01666666666666792,0.016666666666669213,0.016666666666667947,0.0166666666666692,0.016666666666667197,0.01666666666667071,0.016666666666667503,0.016666666666666965,0.016666666666667423,0.01666666666666885,0.01666668750008073,0.01666666666666933,0.01666666666666735,1,9,17
